"time","outputs[1]","outputs[2]","outputs[3]","outputs[4]"
0,10,0,0,0
0.01,9.900000031706817,0.09999996829318347,0,0
0.01,9.900000031706817,0.09999996829318347,0,0
0.02,9.830908657760922,0.1999930416765727,0,0
0.03,9.789716794582018,0.299963430084724,0,0
0.04,9.770686577069823,0.3998953470344143,0,0
0.05,9.765914563616242,0.4997730121175095,0,0
0.06,9.766106922240876,0.5995806534928744,0,0
0.07000000000000001,9.761490716986337,0.6993025103769291,0,0
0.08,9.742772091268302,0.7989228355324591,0,0
0.09,9.702047554274721,0.8984258977552868,0,0
0.1,9.63357916710909,0.9977959843584113,0,0
0.11,9.534357747814278,1.097017403653223,0,0
0.12,9.404398964602601,1.196074487427405,0,0
0.13,9.246743333381636,1.294951593419122,0,0
0.14,9.067160119576144,1.393633107787119,0,0
0.15,8.873584128157423,1.492103447576324,0,0
0.16,8.675340512555167,1.590347063178581,0,0
0.17,8.482233483316122,1.68834844078811,0,0
0.18,8.303588119815419,1.786092104851318,0,0
0.19,8.147339078926921,1.883562620510569,0,0
0.2,8.019255403958468,1.980744596041526,0,0
0.21,7.92237731471631,2.077622685283684,0,0
0.22,7.856720109373783,2.174181590063706,0,0
0.23,7.819274162055557,2.270406062611179,0,0
0.24,7.804301016137811,2.36628090796642,0,0
0.25,7.803896589353816,2.46179098637993,0,0
0.26,7.808766360030607,2.55692121570314,0,0
0.27,7.809136653593207,2.651656573770055,0,0
0.28,7.795712826031327,2.74598210076943,0,0
0.29,7.76059055042291,2.839882901607094,0,0
0.3,7.698031003209437,2.933344148258063,0,0
0.31,7.605024069359446,3.026351082108053,0,0
0.32,7.481584435745964,3.11888901628404,0,0
0.33,7.330751588827273,3.210943337973483,0,0
0.34,7.158293716631402,3.302499510731859,0,0
0.35,6.972144498955608,3.393543076778138,0,0
0.36,6.781627916455917,3.484059659277829,0,0
0.37,6.596546959490975,3.574034964613256,0,0
0.38,6.426225440026058,3.663454784640678,0,0
0.39,6.278596700503563,3.752304998933925,0,0
0.4,6.159428422985815,3.840571577014178,0,0
0.41,6.071759419434456,3.928240580565537,0,0
0.42,6.015603533801437,4.015298165636051,0,0
0.42,6.015603533801437,4.015298165636051,0,0
0.43,5.987949639842902,4.001730584823834,0.1000000000000001,0
0.44,5.983057734656291,3.98752418944794,0.2000000000000002,0
0.44,5.983057734656291,3.98752418944794,0.2000000000000002,0
0.45,5.9930221440301,3.972665431703647,0.3000000000000003,0
0.46,6.008546708931932,3.957140866801814,0.4000000000000004,0
0.47,6.019856072271291,3.94093715509197,0.5000000000000004,0
0.48,6.01765386263196,3.924041064168796,0.6,0
0.49,5.994033981068325,3.906439470961678,0.7000000000000001,0
0.49,5.994033981068325,3.906439470961678,0.7000000000000001,0
