"time","outputs"
0,282.842712474619
0.0002,279.5041544412967
0.0004,276.184124441034
0.0006000000000000001,272.9158623611572
0.0008,269.7100410209241
0.001,266.5516424075323
0.0012,263.4007149043105
0.0014,260.1937745668689
0.0016,256.8750416112227
0.0018,253.5379904447681
0.002,250.2085802093405
0.0022,247.0174993479141
0.0024,244.1802608177136
0.0026,241.8839705595748
0.0028,240.2794737042853
0.003,239.4777339432848
0.0032,239.5472031037835
0.0034,240.5122370702188
0.0036,242.3525904561707
0.0038,245.0039980517127
0.004,248.3598265942841
0.004200000000000001,252.2737563802504
0.0044,256.5634291816907
0.0046,261.0149773672146
0.0048,265.3883295208814
0.005,269.4231706386219
0.005200000000000001,272.8454205315792
0.0054,275.3902096644849
0.0056,276.8989248494781
0.0058,277.2593946402706
0.006,276.406497779142
0.006200000000000001,275.1710052061212
0.0064,273.9849119049168
0.0066,272.9195316096294
0.0068,272.0186427720764
0.007,271.2975301108619
0.007200000000000001,270.7427578332172
0.0074,270.3126770362533
0.0076,269.9386531436962
0.007800000000000001,269.5269829543728
0.008,268.9614553304111
0.008200000000000001,268.1064950796776
0.008400000000000001,266.8108165068155
0.0086,264.9147958112948
0.008800000000000001,262.3436027703316
0.009000000000000001,259.4586092799506
0.0092,256.7371845778376
0.0094,254.3487873661006
0.009600000000000001,252.4309996754811
0.0098,251.0862492192156
0.01,250.379416144003
0.0102,250.336376000272
0.0104,250.9435086365424
0.0106,252.1481808496204
0.0108,253.8601886484901
0.011,255.9541234033613
0.0112,258.2726054307101
0.0114,260.6303091677354
0.0116,262.8186864420136
0.0118,264.611278830744
0.012,265.7867224856543
0.0122,266.2314612746193
0.0124,265.8730820314673
0.0126,264.7369422952347
0.0128,263.6201193720507
0.013,262.7875653644155
0.0132,262.3101513490594
0.0134,262.226072169342
0.0136,262.5399964024527
0.0138,263.2230590122591
0.014,264.213694091782
0.0142,265.4192861202941
0.0144,266.7185997236356
0.0146,267.9649304404899
0.0148,268.9899028475885
0.015,269.607827937739
0.0152,269.6205191921828
0.0154,268.8524945381047
0.0156,267.2522846569483
0.0158,264.9978840319488
0.016,262.8095667370078
0.0162,260.8779126187896
0.0164,259.3144956468637
0.0166,258.1979169135099
0.0168,257.5719961099413
0.017,257.4448364361796
0.0172,257.7887810459488
0.0174,258.5412589404436
0.0176,259.606498151308
0.0178,260.8580645394744
0.018,262.1421660141907
0.0182,263.2816448540854
0.0184,264.0805654653899
0.0186,264.3337231183109
0.0188,263.9197170172289
0.019,262.7973549985006
0.0192,261.1075877652738
0.0194,259.5873205090709
0.0196,258.4187526892911
0.0198,257.6881196591577
0.02,257.4471551528237
0.0202,257.7119151656655
0.0204,258.4624931478089
0.0206,259.6436300242935
0.0208,261.1662023436716
0.021,262.9095520833972
0.0212,264.7246027431044
0.0214,266.4376887527485
0.0216,267.8550092986853
0.0218,268.7676037754048
0.022,268.9662463930993
0.0222,268.3445825294001
0.0224,266.8610242807963
0.0226,264.9338787312715
0.0228,263.1858726373557
0.023,261.7338658250043
0.0232,260.6624072179433
0.0234,260.0227610480325
0.0236,259.8317694526375
0.0238,260.0715785575237
0.024,260.6902312824644
0.0242,261.6031105185261
0.0244,262.6951971665828
0.0246,263.8240892206363
0.0248,264.8237110307591
0.025,265.5086264638494
0.0252,265.6789299141757
0.0254,265.1710916291432
0.0256,263.938822645762
0.0258,262.0526983604977
0.026,260.2283474832905
0.0262,258.7165989561328
0.0264,257.6195409803397
0.0266,257.0052919939096
0.0268,256.9064276148022
0.027,257.3192970899049
0.0272,258.2042417271624
0.0274,259.4867073882372
0.0276,261.0592229630901
0.0278,262.7841972828623
0.028,264.4974685837631
0.0282,266.0125238162575
0.0284,267.1252901693885
0.0286,267.621306626285
0.0288,267.3557629961089
0.029,266.2799782477817
0.0292,264.5095860371145
0.0294,262.8120513391538
0.0296,261.3954015759428
0.0298,260.3516028429793
0.03,259.7395416317638
0.0302,259.5836855560166
0.0304,259.873608061495
0.0306,260.5643849424531
0.0308,261.5778507714617
0.031,262.8046839631447
0.0312,264.1072705660881
0.0314,265.3232794222213
0.0316,266.2698654332725
0.0318,266.7484036781176
0.032,266.5633760882886
0.0322,265.6295983531521
0.0324,263.9208112445543
0.0326,261.9833327622383
0.0328,260.2913660598793
0.033,258.959306771221
0.0332,258.0688336180343
0.0334,257.666998623245
0.0336,257.765187478966
0.0338,258.3389706248286
0.034,259.3288454147693
0.0342,260.6418496320942
0.0344,262.1540070002181
0.0346,263.7135466638171
0.0348,265.1448212943347
0.035,266.2528328851589
0.0352,266.8282839628689
0.0354,266.6931992239875
0.0356,265.7875211520571
0.0358,264.1106710140359
0.036,262.3455981222828
0.0362,260.8460446735644
0.0364,259.713986546281
0.0366,259.0184753214376
0.0368,258.7940410601979
0.03700000000000001,259.0399620524378
0.0372,259.720415123392
0.0374,260.7655001561218
0.0376,262.0731127656657
0.0378,263.5116199838183
0.038,264.9232758034252
0.0382,266.1282968844668
0.0384,266.9295040041971
0.0386,267.1195925631768
0.0388,266.5635305607115
0.039,265.2215779203944
0.0392,263.3022049024972
0.0394,261.5317121019233
0.0396,260.0707004314967
0.0398,259.0120225400627
0.04,258.4147956375382
0.0402,258.3030593091148
0.04040000000000001,258.6653119100768
0.0406,259.4549330566448
0.0408,260.591479696511
0.041,261.9628235560312
0.0412,263.4280788556747
0.0414,264.8212514788474
0.04160000000000001,265.9555246610468
0.0418,266.6280820898056
0.042,266.6391376167315
0.0422,265.8985309553964
0.0424,264.3686488904073
0.0426,262.5110205162046
0.0428,260.8869513289791
0.043,259.6093734824515
0.0432,258.7588042060242
0.0434,258.3814607263088
0.0436,258.4882380264493
0.0438,259.0545696380415
0.044,260.0211716543803
0.0442,261.2956502103907
0.0444,262.7549332366141
0.0446,264.2484687925438
0.0448,265.6021151262681
0.04500000000000001,266.6226321699111
0.0452,267.1026857375587
0.0454,266.8653933454415
0.0456,265.8527693780674
0.0458,264.0839088113511
0.046,262.2624950726228
0.0462,260.7086297461518
0.0464,259.5254845938996
0.0466,258.7832316632701
0.0468,258.5174215057287
0.047,258.7282306625701
0.0472,259.3805924902006
0.0474,260.4052054047714
0.0476,261.7003928316961
0.0478,263.134769988932
0.048,264.5506545371684
0.0482,265.7681414941838
0.04840000000000001,266.5897479994006
0.0486,266.8078964250774
0.0488,266.2885826429301
0.049,264.9913678997504
0.0492,263.1092194205563
0.0494,261.3744083623611
0.04960000000000001,259.9524422318545
0.0498,258.9352977862148
0.05,258.3811641857666
0.0502,258.3131215335952
0.0504,258.718698622415
0.0506,259.5503169291445
0.0508,260.7266078641708
0.051,262.1345706044027
