"time","torqueInput"
0.000000000000000000,0.000000000000000000
0.050251256281407038,0.157842748824052637
0.100502512562814075,0.315528156563368245
0.150753768844221120,0.472899038974224695
0.201005025125628151,0.629798525338587822
0.251256281407035209,0.786070214836254055
0.301507537688442240,0.941558332448589330
0.351758793969849270,1.096107884238456620
0.402010050251256301,1.249564811851541890
0.452261306532663332,1.401776146085072172
0.502512562814070418,1.552590159370844436
0.552763819095477449,1.701856517020564397
0.603015075376884480,1.849426427082734081
0.653266331658291510,1.995152788661704868
0.703517587939698541,2.138890338551048043
0.753768844221105572,2.280495796035079792
0.804020100502512602,2.419828005714193431
0.854271356783919633,2.556748078211633413
0.904522613065326664,2.691119528621443102
0.954773869346733695,2.822808412559590252
1.005025125628140836,2.951683459682642230
1.055276381909547867,3.077616204540896128
1.105527638190954898,3.200481114635536084
1.155778894472361928,3.320155715552156828
1.206030150753768959,3.436520713045921216
1.256281407035175990,3.549460111956664221
1.306532663316583021,3.658861331835383979
1.356783919597990051,3.764615319166884966
1.407035175879397082,3.866616656076695246
1.457286432160804113,3.964763665413892912
1.507537688442211143,4.058958512105103722
1.557788944723618174,4.149107300678629429
1.608040201005025205,4.235120168861493894
1.658291457286432236,4.316911377156116281
1.708542713567839266,4.394399394307301421
1.758793969849246297,4.467506978574370180
1.809045226130653328,4.536161254727407055
1.859296482412060358,4.600293786690873077
1.909547738693467389,4.659840645762174383
1.959798994974874420,4.714742474337185740
2.010050251256281673,4.764944545079196736
2.060301507537688703,4.810396815472314458
2.110552763819095734,4.851053977704930631
2.160804020100502765,4.886875503833535639
2.211055276381909795,4.917825686181849676
2.261306532663316826,4.943873672935012564
2.311557788944723857,4.964993498893347734
2.361809045226130888,4.981164111355033342
2.412060301507537918,4.992369391101894038
2.462311557788944949,4.998598168467389691
2.512562814070351980,4.999844234470781856
2.562814070351759010,4.996106347006377568
2.613065326633166041,4.987388232081694461
2.663316582914573072,4.973698580103285138
2.713567839195980103,4.955051037213960896
2.763819095477387133,4.931464191690013266
2.814070351758794164,4.902961555412020722
2.864321608040201195,4.869571540427688916
2.914572864321608225,4.831327430630109276
2.964824120603015256,4.788267348579648086
3.015075376884422287,4.740434217502548009
3.065326633165829318,4.687875718504125544
3.115577889447236348,4.630644243039204966
3.165829145728643379,4.568796840687183725
3.216080402010050410,4.502395162283757912
