"time","outputs[1]","outputs[2]"
0,25,20
0.02,25,20.199314260785
0.04,25,20.39806509579887
0.06,25,20.59644772272054
0.08,25,20.79441326347967
0.1,25,20.9917688248363
0.12,25,21.18863708928586
0.14,25,21.38501805682841
0.16,25,21.58085174445614
0.18,25,21.77615028144868
0.2,25,21.97092567574038
0.22,25,22.16517037999182
0.24,25,22.35887401377136
0.26,25,22.55204787510985
0.28,25,22.74469196400725
0.3,25,22.93680628046354
0.32,25,23.12839082447874
0.34,25,23.31946555277716
0.36,25,23.51004660073335
0.38,25,23.70010576020962
0.4,25,23.88964303120599
0.4116703313758208,25,24.00000005463011
0.4116703313758208,25,24.00000005463011
0.42,25,24.07857211393923
0.44,25,24.26644378707368
0.46,25,24.45397092383234
0.48,25,24.64115352421533
0.5,25,24.8279408324795
0.52,25,25.01414195840579
0.54,25,25.19988740783657
0.5600000000000001,25,25.38517718077185
0.58,25,25.56998206958161
0.6,25,25.75426699184396
0.62,25,25.93806310277523
0.6267517548338661,25,26.00000005462999
0.6267517548338661,25,26.00000005462999
0.6267519369338626,25,25.99999994537001
0.6267519369338626,25,25.99999994537001
0.64,25,25.99206364912885
0.66,25,25.98013446001835
0.68,25,25.9682211250414
0.7000000000000001,25,25.95632364419799
0.72,25,25.94444201748814
0.74,25,25.93257624491184
0.76,25,25.92072793981902
0.78,25,25.90891994478659
0.8,25,25.89713286659065
0.8200000000000001,25,25.88536670523132
0.84,25,25.87362146070848
0.86,25,25.86189713302218
0.88,25,25.85019372217238
0.9,25,25.83851122815918
0.92,25,25.82684965098247
0.9400000000000001,25,25.8152089906423
0.96,25,25.80359920483392
0.98,25,25.79201258941384
1,25,25.78044820271145
1.02,25,25.76890604472669
1.04,25,25.75738611545961
1.06,25,25.7458884149101
1.08,25,25.73441294307827
1.1,25,25.72295969996406
1.12,25,25.71152868556754
1.14,25,25.70011989988859
1.16,25,25.68873334292732
1.18,25,25.67736901468373
1.2,25,25.66602691515772
1.22,25,25.65470704434938
1.24,25,25.64340940225867
1.26,25,25.63213361932475
1.28,25,25.6208769313792
1.3,25,25.609642245082
1.32,25,25.59842956043309
1.34,25,25.58723887743258
1.36,25,25.57607019608042
1.38,25,25.56492351637655
1.4,25,25.55379883832103
1.42,25,25.54269616191385
1.44,25,25.53161548715502
1.46,25,25.52055681404454
1.48,25,25.50952014258235
1.5,25,25.49850547276856
1.52,25,25.48751280460306
1.54,25,25.4765421380859
1.56,25,25.4655934732171
1.58,25,25.45466680999664
1.6,25,25.44376214842447
1.62,25,25.4328794885007
1.64,25,25.42201883022523
1.66,25,25.4111801735981
1.68,25,25.40036351861932
1.7,25,25.38956886528888
1.72,25,25.37879621360679
1.74,25,25.36804556357305
1.76,25,25.3573169151876
1.78,25,25.34661026845049
1.8,25,25.33592562336173
1.82,25,25.32526297992132
1.84,25,25.31462233812925
1.86,25,25.30398266493859
1.88,25,25.29334044128717
1.9,25,25.28271886673588
1.92,25,25.27211794128471
1.94,25,25.26153766493371
1.96,25,25.2509780376829
1.98,25,25.24043905953221
2,25,25.22992073048164
2.0000000004,25,25.22992073027149
2.0000000004,25.00000000166667,25.22992073027149
2.02,25.08333333333334,25.2194836036951
2.04,25.16666666666667,25.20912022721774
2.06,25.25,25.19877709572847
2.08,25.33333333333334,25.18844768140025
2.1,25.41666666666667,25.178131984233
2.12,25.5,25.16783000422669
2.14,25.58333333333334,25.15754174138141
2.16,25.66666666666667,25.14726719569711
2.18,25.75,25.13700636717374
2.2,25.83333333333334,25.12675925581141
2.22,25.91666666666667,25.11652586161006
2.24,26,25.1063069142171
2.26,26.08333333333334,25.09612669617439
2.26273646318726,26.09473526328025,25.09473520865026
2.26273646318726,26.09473526328025,25.09473520865026
2.262736484494013,26.09473535205839,25.09473540668853
2.262736484494013,26.09473535205839,25.09473540668853
2.28,26.16666666666667,25.25475086600602
2.3,26.25,25.43943550824588
2.32,26.33333333333334,25.62369210986532
2.34,26.41666666666667,25.80761119753305
2.36,26.5,25.99119277124913
2.38,26.58333333333334,26.17419368620745
2.4,26.66666666666667,26.35673154575926
2.42,26.75,26.53882311585778
2.44,26.83333333333334,26.72046839650295
2.46,26.91666666666667,26.90158934504535
2.48,27,27.08223050908265
2.5,27.08333333333334,27.26239306139416
2.52,27.16666666666667,27.44207622828804
2.54,27.25,27.62126063181489
2.56,27.33333333333334,27.79996090857099
2.58,27.41666666666667,27.97817705855635
2.6,27.5,28.15590908177097
2.62,27.58333333333334,28.33315697821479
2.64,27.66666666666667,28.50992074788792
2.66,27.75,28.68623119944198
2.673773043786759,27.80738768244483,28.80738773707498
2.673773043786759,27.80738768244483,28.80738773707498
2.673773065433562,27.80738777263984,28.80738771800975
2.673773065433562,27.80738777263984,28.80738771800975
2.68,27.83333333333334,28.80190874922471
2.7,27.91666666666667,28.78436581428252
2.72,28,28.7668557858733
2.74,28.08333333333334,28.74936906969469
2.76,28.16666666666667,28.73190566574669
2.78,28.25,28.7144655740293
2.8,28.33333333333334,28.69707930347761
2.82,28.41666666666667,28.67972504977894
2.84,28.5,28.66240161082806
2.86,28.58333333333334,28.64510898662502
2.88,28.66666666666667,28.62784717716977
2.9,28.75,28.61061618246242
2.92,28.83333333333334,28.59341600250286
2.94,28.91666666666667,28.57625238063383
2.96,29,28.55912900872062
2.98,29.08333333333334,28.5420384945196
3,29.16666666666667,28.52498083803096
3.02,29.25,28.50795603925451
3.04,29.33333333333334,28.49096409819032
3.06,29.41666666666667,28.47400501483838
3.071437189832162,29.46432162430068,28.46432156967035
3.071437189832162,29.46432162430068,28.46432156967035
3.071437213250431,29.4643217218768,28.46432177650701
3.071437213250431,29.4643217218768,28.46432177650701
3.08,29.5,28.53981859255157
3.1,29.58333333333334,28.71562145133367
3.12,29.66666666666667,28.89099532784905
3.14,29.75,29.06604999824884
3.16,29.83333333333334,29.2407208602537
3.18,29.91666666666667,29.41487263427427
3.2,30,29.58860185047047
3.22,30.08333333333334,29.76190850884223
3.24,30.16666666666667,29.93473367361696
3.26,30.25,30.10709840126219
3.28,30.33333333333334,30.27900935013275
3.3,30.41666666666667,30.45045844927193
3.32,30.5,30.6214382417736
3.34,30.58333333333334,30.79195846295892
3.36,30.66666666666667,30.96201911282799
3.38,30.75,31.13162019138082
3.4,30.83333333333334,31.30076169861729
3.42,30.91666666666667,31.46944808126102
3.44,31,31.63772190948566
3.46,31.08333333333334,31.80554324068584
3.48,31.16666666666667,31.97291207486148
3.5,31.25,32.13982841201266
3.52,31.33333333333334,32.30629225213937
3.526529278388185,31.36053865995078,32.3605387145808
3.526529278388185,31.36053865995078,32.3605387145808
3.526529298611344,31.36053874421393,32.3605386895839
3.526529298611344,31.36053874421393,32.3605386895839
3.54,31.41666666666667,32.34391911532794
3.56,31.5,32.31936525887602
3.58,31.58333333333334,32.2948817409993
3.6,31.66666666666667,32.27043072000873
3.62,31.75,32.24601219590437
3.64,31.83333333333334,32.22162616868621
3.66,31.91666666666667,32.19727263835421
3.68,32,32.17295160490835
3.7,32.08333333333334,32.1486630683487
